"Product
ID",Description,Supplier,"Quantity Per
Unit","Unit
Price"
77,"Original Frankfurter
grüne Soße","Plutzer
Lebensmittelgroßmärkte AG",12 boxes,$13.00
70,Outback Lager,"Pavlova, Ltd.","24 - 355 ml
bottles",$15.00
55,Pâté chinois,Ma Maison,"24 boxes x 2
pies",$24.00
16,Pavlova,"Pavlova, Ltd.","32 - 500 g
boxes",$17.45
53,Perth Pasties,"G'day, Mate",48 pieces,$32.80
11,Queso Cabrales,"Cooperativa de Quesos 'Las
Cabras'",1 kg pkg.,$21.00
12,"Queso Manchego La
Pastora","Cooperativa de Quesos 'Las
Cabras'","10 - 500 g
pkgs.",$38.00
59,Raclette Courdavault,Gai pâturage,5 kg pkg.,$55.00
57,Ravioli Angelo,Pasta Buttini s.r.l.,"24 - 250 g
pkgs.",$19.50
75,Rhönbräu Klosterbier,"Plutzer
Lebensmittelgroßmärkte AG","24 - 0.5 l
bottles",$7.75
73,Röd Kaviar,Svensk Sjöföda AB,24 - 150 g jars,$15.00
45,Røgede sild,Lyngbysild,1k pkg.,$9.50
28,Rössle Sauerkraut,"Plutzer
Lebensmittelgroßmärkte AG","25 - 825 g
cans",$45.60
34,Sasquatch Ale,Bigfoot Breweries,"24 - 12 oz
bottles",$14.00
27,Schoggi Schokolade,"Heli Süßwaren GmbH & Co.
KG","100 - 100 g
pieces",$43.90
